name,sku,category,price_default_text,price_default,price_status,variants_json,description,image_count,product_url,source_site,last_checked,raw_text
Passion fruit & chocolate cake,112121,,"365,000₫",365000,available,"[{""variant_name"": ""Ngọt vừa"", ""variant_price_text"": ""365,000₫"", ""variant_price"": 365000}, {""variant_name"": ""Ngọt vừa"", ""variant_price_text"": ""645,000₫"", ""variant_price"": 645000}]",,14,https://nguyenson.vn/products/passion-fruit-chocolate-cake,Nguyễn Sơn Bakery,2026-04-23 09:53:00,"Tên sản phẩm: Passion fruit & chocolate cake | SKU: 112121 | Giá mặc định: 365,000₫ | Biến thể: Ngọt vừa - 365,000₫, Ngọt vừa - 645,000₫ | Số lượng ảnh: 14 | Nguồn: https://nguyenson.vn/products/passion-fruit-chocolate-cake"
Passion fruit mousse,112120,,"355,000₫",355000,available,"[{""variant_name"": ""Ngọt ít"", ""variant_price_text"": ""355,000₫"", ""variant_price"": 355000}, {""variant_name"": ""Ngọt ít"", ""variant_price_text"": ""615,000₫"", ""variant_price"": 615000}]",,15,https://nguyenson.vn/products/passion-fruit-mousse,Nguyễn Sơn Bakery,2026-04-23 09:53:02,"Tên sản phẩm: Passion fruit mousse | SKU: 112120 | Giá mặc định: 355,000₫ | Biến thể: Ngọt ít - 355,000₫, Ngọt ít - 615,000₫ | Số lượng ảnh: 15 | Nguồn: https://nguyenson.vn/products/passion-fruit-mousse"
Petit fours set dark chocolate 10pcs,116156,,"70,000₫",70000,available,"[{""variant_name"": ""10pcs"", ""variant_price_text"": ""70,000₫"", ""variant_price"": 70000}]",,12,https://nguyenson.vn/products/petit-fours-set-dark-chocolate-10pcs,Nguyễn Sơn Bakery,2026-04-23 09:53:04,"Tên sản phẩm: Petit fours set dark chocolate 10pcs | SKU: 116156 | Giá mặc định: 70,000₫ | Biến thể: 10pcs - 70,000₫ | Số lượng ảnh: 12 | Nguồn: https://nguyenson.vn/products/petit-fours-set-dark-chocolate-10pcs"
Petit fours set fruit 10pcs,,,Liên hệ,,contact_required,[],,12,https://nguyenson.vn/products/petit-fours-set-fruit-10pcs,Nguyễn Sơn Bakery,2026-04-23 09:53:05,Tên sản phẩm: Petit fours set fruit 10pcs | Giá: Liên hệ | Số lượng ảnh: 12 | Nguồn: https://nguyenson.vn/products/petit-fours-set-fruit-10pcs
Petit fours set green tea 10pcs,116157,,"70,000₫",70000,available,"[{""variant_name"": ""10pcs"", ""variant_price_text"": ""70,000₫"", ""variant_price"": 70000}]",,12,https://nguyenson.vn/products/petit-fours-set-green-tea-10pcs,Nguyễn Sơn Bakery,2026-04-23 09:53:07,"Tên sản phẩm: Petit fours set green tea 10pcs | SKU: 116157 | Giá mặc định: 70,000₫ | Biến thể: 10pcs - 70,000₫ | Số lượng ảnh: 12 | Nguồn: https://nguyenson.vn/products/petit-fours-set-green-tea-10pcs"
Petit Fours Set Mix,116160,,"70,000₫",70000,available,"[{""variant_name"": ""10pcs"", ""variant_price_text"": ""70,000₫"", ""variant_price"": 70000}]",,13,https://nguyenson.vn/products/petit-fours-set-mix,Nguyễn Sơn Bakery,2026-04-23 09:53:10,"Tên sản phẩm: Petit Fours Set Mix | SKU: 116160 | Giá mặc định: 70,000₫ | Biến thể: 10pcs - 70,000₫ | Số lượng ảnh: 13 | Nguồn: https://nguyenson.vn/products/petit-fours-set-mix"
Rainbow Cake,112200,,"285,000₫",285000,available,"[{""variant_name"": ""16 cm"", ""variant_price_text"": ""285,000₫"", ""variant_price"": 285000}]",,14,https://nguyenson.vn/products/rainbow-cake,Nguyễn Sơn Bakery,2026-04-23 09:53:11,"Tên sản phẩm: Rainbow Cake | SKU: 112200 | Giá mặc định: 285,000₫ | Biến thể: 16 cm - 285,000₫ | Số lượng ảnh: 14 | Nguồn: https://nguyenson.vn/products/rainbow-cake"
Rainbow Macaron,113122,,"60,000₫",60000,available,"[{""variant_name"": ""Hộp"", ""variant_price_text"": ""60,000₫"", ""variant_price"": 60000}]",,12,https://nguyenson.vn/products/rainbow-macaron,Nguyễn Sơn Bakery,2026-04-23 09:53:13,"Tên sản phẩm: Rainbow Macaron | SKU: 113122 | Giá mặc định: 60,000₫ | Biến thể: Hộp - 60,000₫ | Số lượng ảnh: 12 | Nguồn: https://nguyenson.vn/products/rainbow-macaron"
Red Velvet Cake,116199,,"45,000₫",45000,available,"[{""variant_name"": ""90g"", ""variant_price_text"": ""45,000₫"", ""variant_price"": 45000}]",,12,https://nguyenson.vn/products/red-velvet-cake,Nguyễn Sơn Bakery,2026-04-23 09:53:14,"Tên sản phẩm: Red Velvet Cake | SKU: 116199 | Giá mặc định: 45,000₫ | Biến thể: 90g - 45,000₫ | Số lượng ảnh: 12 | Nguồn: https://nguyenson.vn/products/red-velvet-cake"
Red velvet Cookies,8936207770083,,"60,000₫",60000,available,"[{""variant_name"": ""130g"", ""variant_price_text"": ""60,000₫"", ""variant_price"": 60000}]",,13,https://nguyenson.vn/products/red-velvet-cookies,Nguyễn Sơn Bakery,2026-04-23 09:53:16,"Tên sản phẩm: Red velvet Cookies | SKU: 8936207770083 | Giá mặc định: 60,000₫ | Biến thể: 130g - 60,000₫ | Số lượng ảnh: 13 | Nguồn: https://nguyenson.vn/products/red-velvet-cookies"
